Artist Name,Venue*,Country*,Address,City*,Region*,Postal Code,Timezone*,Start Date* (yyyy-mm-dd),Start Time* (HH:MM),End Date,End Time,Streaming Link,Ticket Link,Ticket Type,Ticket Link 2,Ticket Type 2,On-Sale Date,On-Sale Time,Lineup,Event Name,Event Display Format,Description,Schedule Date,Schedule Time,Do Not Announce,Setlist,Event Image,Event Id,Status
Nanowar Of Steel,Totem,Spain,,PAMPLONA,32,,Europe/Berlin,2026-01-20,19:00,,,,https://www.madnesslive.es/es/conciertos-en-pais-vasco/1822-nanowar-of-steel-uuhai-morphium-lone-survivor-sovengar-pamplona.html,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953553,PUBLISHED
Nanowar Of Steel,Revi Live,Spain,,MADRID,29,,Europe/Berlin,2026-01-21,19:00,,,,https://www.madnesslive.es/es/conciertos-en-madrid/1823-nanowar-of-steel-uuhai-morphium-lone-survivor-sovengar-madrid.html,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953548,PUBLISHED
Nanowar Of Steel,Sala Wolf,Spain,,BARCELONA,56,,Europe/Berlin,2026-01-22,19:00,,,,https://www.madnesslive.es/es/conciertos-en-barcelona/1824-nanowar-of-steel-uuhai-morphium-lone-survivor-sovengar-barcelona.html,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953534,PUBLISHED
Nanowar Of Steel,Metronum,France,,TOULOUSE,76,,Europe/Berlin,2026-01-23,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953549,PUBLISHED
Nanowar Of Steel,Rockstore,France,,MONTPELLIER,76,,Europe/Berlin,2026-01-24,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953540,PUBLISHED
Nanowar Of Steel,L'Ilyade,France,,GRENOBLE,84,,Europe/Berlin,2026-01-25,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953535,PUBLISHED
Nanowar Of Steel,Z7,Switzerland,,PRATTELN,BL,,Europe/Berlin,2026-01-27,19:00,,,,,,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953539,PUBLISHED
Nanowar Of Steel,Backstage Halle,Germany,,MUNICH,2,,Europe/Berlin,2026-01-28,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-backstage-halle-20309298/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953542,PUBLISHED
Nanowar Of Steel,Gebaude 9,Germany,,COLOGNE,7,,Europe/Berlin,2026-01-29,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-gebaeude-9-20309301/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953537,PUBLISHED
Nanowar Of Steel,L'Oasis,France,,LE MANS,52,,Europe/Berlin,2026-01-30,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953547,PUBLISHED
Nanowar Of Steel,Le Grillen,France,,COLMAR,44,,Europe/Berlin,2026-01-31,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953530,PUBLISHED
Nanowar Of Steel,Kulturwerk,Germany,,HERFORD,7,,Europe/Berlin,2026-02-01,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-kulturwerk-herford-ehemals-x-20309333/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953543,PUBLISHED
Nanowar Of Steel,Logo,Germany,,HAMBURG,4,,Europe/Berlin,2026-02-03,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-logo-hamburg-20309370/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953538,PUBLISHED
Nanowar Of Steel,Colosaal,Germany,,ASCHAFFENBURG,2,,Europe/Berlin,2026-02-04,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-colos-saal-20309258/,TICKETS,https://www.adticket.de/tickets--/e2421283?affiliateId=f5c587f89cca20b5fb59da79e27e1cc49fab748d3a2d896d93835399ddf5567a,collections,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953551,PUBLISHED
Nanowar Of Steel,Futurum,Czechia,,PRAHA,52,,Europe/Berlin,2026-02-05,19:00,,,,https://predprodej.cz/cs/vstupenky/motocultor-across-europe-tour-2026-nanowar-of-steel-uuhai-special-guests-2026-02-05/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953554,PUBLISHED
Nanowar Of Steel,Studio,Poland,,KRAKOW,74,,Europe/Berlin,2026-02-06,19:00,,,,https://ticketclub.pl/koncerty/nanowar-of-steel-uuhai-supports-motocultor-across-europe-tour-2026-klub-studio-krakow-3704/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953545,PUBLISHED
Nanowar Of Steel,Randal Club,Slovakia,,BRATISLAVA,2,,Europe/Berlin,2026-02-07,19:00,,,,https://predpredaj.zoznam.sk/sk/listky/motocultor-across-europe-tour-2026-nanowar-of-steel-uuhai-special-guests-2026-02-07/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953541,PUBLISHED
Nanowar Of Steel,Lido,Germany,,BERLIN,10,,Europe/Berlin,2026-02-08,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-lido-20309421/,TICKETS,,,,,,Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953555,PUBLISHED
